trial_number,expected_class,expected_command,raw_prediction,raw_confidence,thresholded_prediction,stable_command,correct,inference_ms,threshold,smoothing,timestamp
1,no_hand,NO COMMAND,up,0.529164,NO COMMAND,NO COMMAND,yes,10.76,0.9,3-of-5,2026-09-13 01:36:35
2,no_hand,NO COMMAND,right,0.529271,NO COMMAND,NO COMMAND,yes,10.563,0.9,3-of-5,2026-09-13 01:36:35
3,no_hand,NO COMMAND,up,0.491283,NO COMMAND,NO COMMAND,yes,10.58,0.9,3-of-5,2026-09-13 01:36:35
4,no_hand,NO COMMAND,up,0.44185,NO COMMAND,NO COMMAND,yes,10.388,0.9,3-of-5,2026-09-13 01:36:36
5,no_hand,NO COMMAND,up,0.53444,NO COMMAND,NO COMMAND,yes,11.652,0.9,3-of-5,2026-09-13 01:36:36
6,no_hand,NO COMMAND,up,0.587544,NO COMMAND,NO COMMAND,yes,19.181,0.9,3-of-5,2026-09-13 01:36:37
7,no_hand,NO COMMAND,up,0.617344,NO COMMAND,NO COMMAND,yes,8.488,0.9,3-of-5,2026-09-13 01:36:37
8,no_hand,NO COMMAND,up,0.577501,NO COMMAND,NO COMMAND,yes,10.156,0.9,3-of-5,2026-09-13 01:36:37
9,no_hand,NO COMMAND,up,0.462168,NO COMMAND,NO COMMAND,yes,12.178,0.9,3-of-5,2026-09-13 01:36:37
10,no_hand,NO COMMAND,up,0.576532,NO COMMAND,NO COMMAND,yes,10.226,0.9,3-of-5,2026-09-13 01:36:37
11,no_hand,NO COMMAND,up,0.421696,NO COMMAND,NO COMMAND,yes,13.184,0.9,3-of-5,2026-09-13 01:36:37
12,no_hand,NO COMMAND,up,0.412952,NO COMMAND,NO COMMAND,yes,19.123,0.9,3-of-5,2026-09-13 01:36:38
13,no_hand,NO COMMAND,up,0.494396,NO COMMAND,NO COMMAND,yes,11.975,0.9,3-of-5,2026-09-13 01:36:38
14,no_hand,NO COMMAND,up,0.485705,NO COMMAND,NO COMMAND,yes,14.152,0.9,3-of-5,2026-09-13 01:36:38
15,no_hand,NO COMMAND,up,0.463245,NO COMMAND,NO COMMAND,yes,9.492,0.9,3-of-5,2026-09-13 01:36:38
16,no_hand,NO COMMAND,up,0.571403,NO COMMAND,NO COMMAND,yes,10.787,0.9,3-of-5,2026-09-13 01:36:38
17,no_hand,NO COMMAND,up,0.541864,NO COMMAND,NO COMMAND,yes,10.209,0.9,3-of-5,2026-09-13 01:36:38
18,no_hand,NO COMMAND,up,0.536905,NO COMMAND,NO COMMAND,yes,11.313,0.9,3-of-5,2026-09-13 01:36:38
19,no_hand,NO COMMAND,up,0.382334,NO COMMAND,NO COMMAND,yes,17.235,0.9,3-of-5,2026-09-13 01:36:38
20,no_hand,NO COMMAND,up,0.409446,NO COMMAND,NO COMMAND,yes,9.905,0.9,3-of-5,2026-09-13 01:36:38
21,idle_hand,NO COMMAND,up,0.501646,NO COMMAND,NO COMMAND,yes,10.452,0.9,3-of-5,2026-09-13 01:36:39
22,idle_hand,NO COMMAND,up,0.47809,NO COMMAND,NO COMMAND,yes,9.212,0.9,3-of-5,2026-09-13 01:36:39
